customer_id,name,email,phone,revenue,signup_date,region,loyalty_score
1,Allison Hill,donaldgarcia@example.net,+1-219-560-0133,30219.5,2025-12-10,Asia,7
2,Jerry Ramirez,blakeerik@example.com,942-335-1161x55940,899.43,2024-07-11,South America,91
3,Edward Fuller,barbara10@example.net,441.731.6475,25297.77,2024-04-29,Asia,91
4,Derek Zuniga,lynchgeorge@example.net,527.264.8350,34683.5,2023-12-28,South America,92
5,Austin Gentry,jason76@example.net,724.523.8849x696,24104.82,2022-06-25,North America,20
6,Ann Williams,hernandezernest@example.net,(791)366-9784x80184,2530.48,2023-10-20,,13
7,Jesse Mckay,,001-248-728-1489x3252,3407.57,2025-06-18,Asia,56
8,Timothy Koch,john39@example.org,671-882-2782,30176.68,2023-02-09,South America,4
9,Nicole Vaughn,raymond57@example.net,213.331.5098x393,12746.31,2021-10-21,North America,51
10,Taylor Heath,palmerjoshua@example.com,582.399.7376,16857.53,2022-02-17,,48
11,Heather Jenkins,nuneztracey@example.org,4658133387,45163.24,2022-11-13,,87
12,David Leblanc,jmorton@example.org,5808132677,35632.4,2021-10-21,,83
13,Aaron Myers,smitchell@example.net,+1-272-734-3098,13420.52,2021-10-16,Europe,96
14,John Calhoun,brianromero@example.org,291-336-1939,32228.43,2024-11-14,Europe,93
15,Krystal Stewart,james53@example.com,(524)675-1079x9118,39185.12,2022-06-07,Europe,94
16,Shirley Suarez,justin78@example.net,698-608-4124x1182,45476.84,2023-02-05,Asia,3
17,Christina Walters,william40@example.org,162-361-8498,6280.04,2024-11-28,North America,73
18,Amanda Cook,danagreen@example.net,486.880.1128x059,44429.07,2022-05-22,,26
19,Jacob Fitzpatrick,nolanjason@example.org,+1-815-586-9232x26025,8677.27,2023-07-29,South America,88
20,Michael Reyes,garrisonjeffrey@example.com,826-603-6546,23579.2,2024-04-12,North America,40
21,Robert Perez,kellerraymond@example.com,645-486-8501,1083.57,2026-03-30,North America,91
22,Deborah Rodriguez,yreed@example.com,420-387-7161,26556.27,2025-01-06,,37
23,Kayla Cruz,jonathanfletcher@example.org,Invalid_Phone,15017.03,2025-09-23,Europe,40
24,Kimberly Ball,michaeljones@example.net,895-814-8465x64823,15296.41,2022-10-14,,38
25,Elizabeth Kelley,torresjason@example.net,+1-757-377-3872x148,32024.44,2023-04-21,Asia,34
26,Courtney Gonzalez,williamstracey@example.net,001-517-469-3676x32016,13847.21,2025-09-17,Europe,53
27,Justin Lowery,bryantlaurie@example.net,589.657.9868x72774,40592.22,2025-09-27,,24
28,Mr. Jeremiah Reeves,josephflores@example.net,822-736-2316,47514.85,2025-12-02,Asia,73
29,Antonio Wall,lstein@example.net,462-206-8376,8018.6,2021-06-21,North America,65
30,Pamela James,benderkenneth@example.com,(488)993-7346x70656,28030.94,2022-05-23,Europe,54
31,Ms. Susan Vargas,millerroy@example.com,(804)665-3755,48853.34,2024-11-21,South America,26
32,Bradley Smith,cookemichael@example.net,349-698-5613,46737.03,2021-11-21,,65
33,Marissa Webster,jamessmith@example.org,427.319.3745,39421.17,2022-09-12,,85
34,Ashley Johnson,barbara66@example.net,219.731.4919,34831.28,2025-11-02,North America,80
35,Jacob Hunter,alexander67@example.org,Invalid_Phone,38840.16,2024-12-28,,82
36,Madison Poole,ryangross@example.net,466-823-1094,28071.14,2023-08-09,North America,4
37,Tamara Hampton,ugraham@example.net,253-914-7379x965,9550.98,2024-01-26,Europe,53
38,Daniel Salinas,joshua94@example.net,Invalid_Phone,28654.3,2021-05-23,North America,76
39,Cheryl Allen,wfreeman@example.org,001-777-970-1436x349,4455.01,2026-01-05,Europe,98
40,Jessica Reese,michael74@example.com,631-335-1823x374,47382.66,2022-12-16,Asia,83
41,Isaac Turner,joshuamccann@example.net,627-910-9477x7520,21696.64,2022-04-11,,68
42,Jennifer Jones,hernandezlisa@example.com,831-986-9993,34102.61,2025-01-26,South America,55
43,Kevin Patterson,lynchjody@example.org,Invalid_Phone,-404.43,2023-02-06,,20
44,Brad Allen,moorericky@example.net,+1-574-803-4471x349,26087.99,2022-04-13,North America,37
45,Maria Kerr,charlesmartin@example.com,+1-994-371-7464x887,21941.8,2021-08-23,Europe,74
46,Morgan Munoz,davissuzanne@example.net,001-604-490-2787,11302.37,2026-04-14,Europe,100
47,Robert Costa,,256.955.1256x7468,43043.31,2022-01-20,Asia,80
48,Frank Cordova,ahancock@example.net,713-472-3560,37514.96,2025-12-02,,74
49,Anthony Stone,wgarrett@example.org,548.424.7710,2377.96,2023-12-13,South America,44
50,Kristen Davis,murraydavid@example.org,448.346.7737x8263,37783.05,2023-08-28,North America,69
51,Sarah Morgan,lori44@example.net,001-872-978-7558,47267.97,2024-01-16,Europe,83
52,Veronica Allen,,(736)305-7662x7028,17266.33,2025-01-18,Europe,47
53,Thomas Smith,robertpena@example.org,874-759-6158,41589.45,2025-06-16,Europe,54
54,Amanda Jones,wendy16@example.org,001-517-824-0050x45562,37765.19,2026-02-13,Asia,74
55,Catherine Thompson,pharvey@example.com,650-360-5881,35736.99,2026-04-07,Asia,68
56,Joel King,elizabeth74@example.net,+1-921-675-9464,19119.73,2022-12-31,South America,64
57,Dr. Ashley James MD,victoria40@example.net,(640)490-9743x9533,29066.96,2022-02-17,Asia,93
58,Maria Parker,xjohnson@example.net,(714)656-2328,30106.95,2022-09-15,Europe,53
59,Roger Olson,,651-371-2368x5160,27794.83,2025-03-04,,71
60,Paul Baker,xcarson@example.org,+1-437-209-8593x17461,44236.44,2021-08-15,South America,4
61,Johnathan Davis,paulwatson@example.net,001-786-592-6179x640,20595.97,2025-01-28,South America,4
62,David Cox,amy50@example.com,393-842-6120,270.19,2023-08-27,,35
63,Bryan Charles,,167-458-3317,1376.53,2025-03-04,Europe,7
64,Daniel Fowler,williamsmatthew@example.org,001-431-283-9335,21457.95,2023-08-31,,80
65,Brianna Anderson,lauren10@example.org,4538950240,37793.51,2025-10-12,South America,99
66,Arthur West,william17@example.net,890.884.7007,33902.39,2022-03-23,Asia,51
67,Theodore Jones Jr.,cameronhill@example.net,001-885-369-8478,10338.12,2022-04-12,Asia,31
68,Marilyn Mack,russellbeasley@example.com,376-361-5654x52711,33115.83,2024-12-23,South America,6
69,Parker Cain,willisanna@example.com,+1-416-956-0494x51983,13811.46,2023-03-19,Asia,89
70,Hayley Hawkins,farmeraudrey@example.com,+1-699-680-9402,14302.72,2024-03-12,South America,17
71,Christopher Thomas,,+1-661-720-1836x67525,40471.95,2026-02-18,,48
72,Sophia Moore,craigjoseph@example.net,(979)676-4381x56149,12326.39,2021-09-10,Asia,57
73,William Brown,kevinclark@example.org,001-744-351-0762x26838,44968.19,2024-09-06,South America,20
